,id,true,hb,err[%]
0,0,366.8667,374.2237,2.0054
1,1,384.7500,378.8728,1.5275
2,2,405.9167,395.6362,2.5327
3,3,394.0833,393.2000,0.2242
4,4,407.4167,400.8816,1.6040
5,5,451.1667,489.7676,8.5558
6,6,428.5833,474.0721,10.6138
7,7,372.6667,358.5327,3.7927
8,8,367.4167,379.9581,3.4134
9,9,308.4000,322.7737,4.6607
10,10,388.0000,393.2000,1.3402
11,11,394.5833,398.2622,0.9323
12,12,385.0833,374.2415,2.8154
13,13,402.5000,386.8123,3.8976
14,14,394.8333,373.2900,5.4563
15,15,380.0000,379.0876,0.2401
16,16,409.5833,390.9356,4.5529
17,17,395.7500,378.2353,4.4257
18,18,389.0833,390.9356,0.4761
19,19,401.1667,382.6859,4.6067
20,20,404.4167,393.2557,2.7598
21,21,443.0833,465.1168,4.9728
22,22,333.8333,350.6411,5.0348
23,23,404.5000,377.4008,6.6994
24,24,354.1667,355.4590,0.3649
25,25,368.5833,382.6859,3.8262
26,26,328.2833,327.6992,0.1780
27,27,379.1667,373.1049,1.5987
28,28,431.7500,406.8444,5.7685
29,29,388.6667,377.4008,2.8986
30,30,396.4167,379.0876,4.3714
31,31,370.2500,366.3892,1.0427
32,32,343.3333,336.0767,2.1136
33,33,337.5833,346.1414,2.5351
34,34,330.7333,345.5428,4.4778
35,35,395.9167,380.8477,3.8061
36,36,385.8333,382.6859,0.8157
37,37,335.4167,332.8696,0.7594
38,38,350.3333,356.2251,1.6818
39,39,346.5000,357.1262,3.0667
40,40,370.9167,371.3134,0.1069
41,41,411.2500,389.2684,5.3451
42,42,398.5833,400.9683,0.5984
43,43,292.6333,318.1821,8.7307
44,44,426.5000,386.1074,9.4707
45,45,369.5000,373.0703,0.9662
46,46,404.5833,391.4513,3.2458
47,47,386.0833,370.2618,4.0979
48,48,362.6667,353.3741,2.5623
49,49,310.2000,336.7061,8.5448
50,50,319.6167,325.4523,1.8258
51,51,404.0833,399.5972,1.1102
52,52,341.6167,350.0705,2.4746
53,53,372.4167,369.7526,0.7153
54,54,368.2500,371.6226,0.9158
55,55,367.4167,366.5043,0.2483
56,56,358.6667,367.5967,2.4898
57,57,378.5833,382.6419,1.0720
58,58,432.0833,445.4257,3.0879
59,59,364.6667,369.0950,1.2144
60,60,354.8333,364.0156,2.5878
61,61,390.8333,406.8444,4.0966
62,62,487.3333,493.5142,1.2683
63,63,430.7500,400.8816,6.9341
64,64,463.7500,478.6934,3.2223
65,65,387.8333,405.3133,4.5071
66,66,346.9167,353.1711,1.8029
67,67,339.3333,342.1709,0.8362
68,68,381.3333,384.6231,0.8627
69,69,376.8333,372.7487,1.0839
70,70,343.0833,356.6722,3.9608
71,71,325.4833,330.3350,1.4906
72,72,295.2667,308.9041,4.6187
73,73,339.5333,341.5400,0.5910
74,74,410.4167,399.5972,2.6362
75,75,314.4333,308.6471,1.8402
76,76,336.4833,347.6078,3.3061
77,77,347.7500,350.7043,0.8496
78,78,363.4167,368.6021,1.4268
79,79,383.7500,375.7829,2.0761
80,80,400.5000,403.7560,0.8130
81,81,433.4167,413.4324,4.6109
82,82,453.9167,464.5703,2.3471
83,83,427.9167,447.6573,4.6132
84,84,389.1667,378.6725,2.6966
85,85,366.2500,379.5205,3.6234
86,86,470.7500,487.5208,3.5626
87,87,446.5833,446.1772,0.0909
88,88,364.7000,388.2065,6.4454
89,89,397.0000,375.7953,5.3412
90,90,365.5833,374.2415,2.3683
91,91,365.2500,369.5949,1.1896
92,92,382.9167,380.4144,0.6535
93,93,391.5833,390.9356,0.1654
94,94,368.7500,379.3035,2.8620
95,95,373.7500,371.1269,0.7018
96,96,424.7500,395.7143,6.8359
97,97,337.7500,355.0202,5.1133
98,98,344.3333,351.3422,2.0355
99,99,357.0833,365.4735,2.3496
100,100,376.1667,390.9356,3.9262
101,101,341.7833,354.8082,3.8109
102,102,317.6500,341.0618,7.3703
103,103,378.3333,393.2557,3.9442
104,104,356.3333,359.6223,0.9230
105,105,451.2500,460.2166,1.9871
106,106,453.1667,468.4438,3.3712
107,107,481.8333,395.6948,17.8773
108,108,369.6667,382.6859,3.5219
109,109,304.6667,318.2960,4.4735
110,110,313.1667,309.2422,1.2532
111,111,293.6000,293.8820,0.0960
112,112,331.0833,342.3048,3.3893
113,113,412.2500,406.8444,1.3112
114,114,440.9167,390.9356,11.3357
115,115,436.0000,392.0813,10.0731
116,116,406.4167,374.2296,7.9197
117,117,358.4167,369.5949,3.1188
118,118,358.5833,359.7468,0.3245
119,119,309.5000,298.1031,3.6824
120,120,333.7333,359.5434,7.7337
121,121,474.6667,474.7442,0.0163
122,122,318.8500,322.8006,1.2390
123,123,371.3333,371.6559,0.0869
124,124,358.2500,364.7366,1.8106
125,125,348.2500,369.7526,6.1745
126,126,340.6667,348.6109,2.3320
127,127,356.7500,380.4137,6.6331
128,128,459.9167,460.2053,0.0628
129,129,463.4167,405.3133,12.5380
130,130,368.4167,374.2296,1.5778
131,131,384.6667,385.5547,0.2309
132,132,396.0833,393.1814,0.7326
133,133,417.2500,387.6600,7.0917
134,134,353.0000,356.6757,1.0413
135,135,364.4167,365.1860,0.2111
136,136,355.2500,353.7093,0.4337
137,137,409.5000,420.7466,2.7464
138,138,359.5833,366.6872,1.9756
139,139,369.7500,372.7487,0.8110
140,140,364.3333,373.1164,2.4107
141,141,407.5833,394.4598,3.2198
142,142,438.9167,429.1923,2.2155
143,143,386.8333,372.7373,3.6440
144,144,324.3333,327.7492,1.0532
145,145,399.4167,395.6362,0.9465
146,146,327.8167,346.1366,5.5885
147,147,383.7500,379.0876,1.2150
148,148,342.5833,356.4702,4.0536
149,149,357.5833,372.0129,4.0353
150,150,364.1667,359.2896,1.3392
