,id,true,hb,err[%]
0,3,1407.0599,1332.2567,5.3163
1,4,0.0000,0.0000,0.0000
2,5,0.0000,0.0000,0.0000
3,6,1444.4742,1356.7543,6.0728
4,7,0.0000,0.0000,0.0000
5,8,1670.5345,1561.7913,6.5095
6,9,0.0000,0.0000,0.0000
7,10,1328.6790,1200.9650,9.6121
8,11,0.0000,0.0000,0.0000
9,12,0.0000,0.0000,0.0000
10,13,0.0000,0.0000,0.0000
11,14,0.0000,0.0000,0.0000
12,15,2320.3262,2206.3504,4.9121
13,16,0.0000,0.0000,0.0000
14,17,0.0000,0.0000,0.0000
15,18,0.0000,0.0000,0.0000
16,19,1341.2290,1252.3856,6.6240
17,20,0.0000,0.0000,0.0000
18,21,0.0000,0.0000,0.0000
19,22,0.0000,0.0000,0.0000
20,23,1626.6774,1520.8556,6.5054
21,24,0.0000,0.0000,0.0000
22,25,0.0000,0.0000,0.0000
23,26,0.0000,0.0000,0.0000
24,27,0.0000,0.0000,0.0000
25,28,1764.7845,1591.2708,9.8320
26,29,1478.1409,1357.4882,8.1625
27,30,1600.3607,1509.9745,5.6479
28,31,0.0000,0.0000,0.0000
29,32,1584.7940,1475.3787,6.9041
30,33,1663.3107,1593.0472,4.2243
31,34,1336.8290,1252.8856,6.2793
32,35,1759.8107,1638.0352,6.9198
33,36,1441.6218,1312.7722,8.9378
34,37,0.0000,0.0000,0.0000
35,38,1618.0774,1537.7094,4.9669
36,39,1531.4012,1377.9488,10.0204
37,40,0.0000,0.0000,0.0000
38,41,0.0000,0.0000,0.0000
39,42,0.0000,0.0000,0.0000
40,43,0.0000,0.0000,0.0000
41,44,0.0000,0.0000,0.0000
42,45,0.0000,0.0000,0.0000
43,46,0.0000,0.0000,0.0000
44,47,0.0000,0.0000,0.0000
45,48,0.0000,0.0000,0.0000
46,49,1642.1774,1544.0411,5.9760
47,50,1508.4238,1385.2209,8.1677
48,51,0.0000,0.0000,0.0000
49,52,0.0000,0.0000,0.0000
50,53,0.0000,0.0000,0.0000
51,54,1659.1440,1568.0332,5.4914
52,55,1675.9274,1576.1669,5.9526
53,56,1971.8512,1776.7331,9.8952
54,57,0.0000,0.0000,0.0000
55,58,0.0000,0.0000,0.0000
56,59,0.0000,0.0000,0.0000
57,60,0.0000,0.0000,0.0000
58,61,1648.2774,1546.6018,6.1686
59,62,0.0000,0.0000,0.0000
60,63,0.0000,0.0000,0.0000
61,64,1562.7679,1408.1165,9.8960
62,65,0.0000,0.0000,0.0000
63,66,0.0000,0.0000,0.0000
64,67,0.0000,0.0000,0.0000
65,68,0.0000,0.0000,0.0000
66,71,0.0000,0.0000,0.0000
67,72,2030.4595,1815.8324,10.5704
68,73,0.0000,0.0000,0.0000
69,74,0.0000,0.0000,0.0000
